bstoparsno,bstopid,name,stoptype,lng,lat
12405,216020101,"엘크루블루오션","일반",128.905852000000010,35.081865030000003
12406,210410201,"롯데캐슬아파트","일반",128.906564900000010,35.082115170000002
12411,215430201,"서중마을","일반",128.818732200000000,35.032325030000003
12412,192680101,"금강 협성아파트","일반",128.836200700000010,35.150447280000002
12413,192690101,"금강 협성아파트","일반",128.836060000000000,35.150390000000002
12414,209480301,"의창수협","일반",128.872919999999990,35.083660000000002
12415,209500101,"의창수협","일반",128.873188500000000,35.083725950000002
12416,216450101,"신호초등학교사거리","일반",128.877644900000010,35.083715589999997
12417,216460101,"신호초등학교사거리","일반",128.877288300000000,35.083703079999999
12418,214520201,"신호농협","일반",128.877655000000000,35.086067579999998
12419,214490301,"신호농협","일반",128.877297700000010,35.086023539999999
12420,214490102,"윌아파트","일반",128.877658000000000,35.088352080000000
12421,189230402,"윌아파트","일반",128.877301399999990,35.088339580000003
12422,216030201,"전망대","일반",128.821374600000010,35.022777470000001
12423,217150101,"전망대","일반",128.821500800000000,35.022789090000003
12424,217170101,"대항마을","일반",128.830963900000000,35.012609280000000
12425,190610101,"우일철강","일반",128.825854700000010,35.097675670000001
12426,209930403,"선창입구","일반",128.833257699999990,35.068098759999998
12427,215050203,"선창입구","일반",128.833488700000000,35.067644659999999
12428,216470101,"부산신항만컨테이너터미널","일반",128.818019499999990,35.064065429999999
12430,216510101,"우성전기","일반",128.861162600000000,35.146087510000001
12431,192630201,"지사산단입구","일반",128.856970899999990,35.136047099999999
12432,216570201,"조선해양기자재회관","일반",128.860013400000010,35.150070440000000
12433,216510201,"조선해양기자재회관","일반",128.859963400000000,35.150282990000001
12434,216570101,"강진산업","일반",128.859477900000000,35.153300450000003
12435,216560101,"강진산업","일반",128.859214700000000,35.153304489999996
12436,216530101,"DSK","일반",128.860448999999990,35.157633820000001
12437,216520101,"DSK","일반",128.860598600000000,35.157460290000003
12438,216550101,"탑동","일반",128.864448500000010,35.159063799999998
12439,216540101,"탑동","일반",128.864248100000000,35.158936199999999
12440,193180301,"우성전기","일반",128.861482599999990,35.146168199999998
12441,216610102,"렛츠런파크정문","일반",128.876824599999990,35.151807269999999
12442,216600102,"렛츠런파크정문","일반",128.876857500000000,35.151567940000000
12443,216610101,"렛츠런파크에코랜드","일반",128.872409000000000,35.151366430000003
12444,216600101,"렛츠런파크에코랜드","일반",128.872447700000010,35.151140529999999
12445,216580101,"렛츠런파크관람대","일반",128.868311400000010,35.156192539999999
12446,216590101,"렛츠런파크관람대","일반",128.867502000000000,35.156114000000002
12449,192560101,"가동마을","일반",128.881964700000000,35.166950649999997
12450,192060302,"둔치도입구","일반",128.893458100000000,35.164189839999999
12451,192500103,"둔치도입구","일반",128.892748399999990,35.163160050000002
12452,210410101,"엘크루블루오션 6단지","일반",128.910337400000000,35.081927340000000
12453,210400301,"엘크루블루오션 4단지","일반",128.910022400000000,35.082053969999997
12454,191340302,"본녹산","일반",128.882358299999990,35.112653840000000
12455,209550103,"본녹산","일반",128.882658200000010,35.112342769999998
12457,216680101,"에일린의뜰아파트","일반",128.920538999999990,35.099944209999997
